product_id,amount,pricePerUnit,orders
ENCHANTED_RED_MUSHROOM,12,3956.0,1
ENCHANTED_RED_MUSHROOM,5,3956.1,1
ENCHANTED_GOLDEN_CARROT,458,67913.5,1
ENCHANTED_GOLDEN_CARROT,5,67913.7,2
ENCHANTED_GOLDEN_CARROT,15,67913.9,1
ENCHANTED_GOLDEN_CARROT,63,67915.0,1
ENCHANTED_GOLDEN_CARROT,18,68772.4,1
ENCHANTED_GOLDEN_CARROT,61,68772.6,1
ENCHANTED_GOLDEN_CARROT,4,68772.7,1
ENCHANTED_GOLDEN_CARROT,94,68772.9,1
ENCHANTED_GOLDEN_CARROT,5,68773.0,1
ENCHANTED_GOLDEN_CARROT,59,68773.2,1
ENCHANTED_GOLDEN_CARROT,960,68773.3,1
ENCHANTED_GOLDEN_CARROT,1,68773.5,1
ENCHANTED_GOLDEN_CARROT,51,68773.8,1
ENCHANTED_GOLDEN_CARROT,11,68773.9,1
ENCHANTED_GOLDEN_CARROT,126,68774.4,1
ENCHANTED_GOLDEN_CARROT,7,68774.6,1
ENCHANTED_GOLDEN_CARROT,19,68775.2,1
ENCHANTED_GOLDEN_CARROT,1,68775.5,1
ENCHANTED_GOLDEN_CARROT,66,68775.8,1
ENCHANTED_GOLDEN_CARROT,16,68775.9,2
ENCHANTED_GOLDEN_CARROT,63,68776.6,1
ENCHANTED_GOLDEN_CARROT,9,68777.7,1
ENCHANTED_GOLDEN_CARROT,3,68778.0,1
ENCHANTED_GOLDEN_CARROT,2,68779.0,1
ENCHANTED_GOLDEN_CARROT,1,68779.2,1
ENCHANTED_GOLDEN_CARROT,72,68779.4,1
ENCHANTED_GOLDEN_CARROT,6,68816.4,1
ENCHANTED_GOLDEN_CARROT,72,69000.0,1
ENCHANTED_GOLDEN_CARROT,10,69210.2,1
ENCHANTED_GOLDEN_CARROT,1,69647.4,1
ENCHANTED_RABBIT_HIDE,20,13983.8,1
ENCHANTED_RABBIT_HIDE,1,13983.9,1
ENCHANTED_RABBIT_HIDE,99,13984.0,1
ENCHANTED_RABBIT_HIDE,8,13984.2,1
