product_id,sellPrice,sellVolume,sellMovingWeek,sellOrders,buyPrice,buyVolume,buyMovingWeek,buyOrders
COAL,12.228196332680808,5359710,85141677,132,13.3,1412664,46857403,365
ENCHANTED_QUARTZ,1420.8326484871125,329439,1029572,681,1651.3608527131782,28668,1003510,65
ENDER_PEARL,8.871375505796877,57891126,191787620,1113,10.0,4368769,26302973,536
ENCHANTED_COAL_BLOCK,144138.54764397905,8899,50107,76,149121.0,1788,37937,104
ENCHANTED_PRISMARINE_CRYSTALS,379.1873531153571,1154344,154931,230,461.8894230769231,5179,33625,58
ENCHANTED_WET_SPONGE,16389.74706382979,146873,897,230,152996.5,221,664,30
ENDER_STONE,3.3313843044796223,608003,13064749,22,4.842573953028298,1554106,8405285,472
ENCHANTED_RAW_FISH,3507.3655440852935,237705,564478,320,3811.6778461538465,143086,424615,384
QUARTZ,21.97314767825425,1540701,17376134,110,24.315906316753125,1390010,17899456,548
FOUL_FLESH,12371.80955864999,188675,101071,636,25952.79938042131,7228,48370,77
RAW_BEEF,5.601778301770933,1753204,7812495,57,7.473835162255736,1171603,7452016,210
ENCHANTED_EYE_OF_ENDER,3373.9470151770665,436545,408452,553,4990.591139240507,13326,410471,92
MAGMA_CREAM,7.411748939021666,3872855,18158313,88,9.5,649012,11050735,128
SUGAR_CANE,2.501958847072819,3810948,82424896,71,3.228814987741563,8305449,58225190,519
RED_GIFT,22753.074264238832,460036,104313,263,33121.83655913979,9647,101101,290
ENCHANTED_RAW_BEEF,630.6836399442816,351178,1552794,95,655.6664631578947,440669,1004649,387
ENCHANTED_FEATHER,472.8,965577,3003223,73,480.3811972573839,376454,896460,104
ENCHANTED_SLIME_BLOCK,2098.58212514758,468204,1981,155,143731.33157894737,699,1647,48
ENCHANTED_OAK_LOG,846.5590358744395,408813,2522662,276,893.2450336700338,177998,3108899,572
RABBIT_HIDE,15.900000000000002,600721,4540238,22,19.83495121341006,189972,841797,212
WHITE_GIFT,5602.215375003357,3332742,1141113,1539,6999.605159769513,120066,1016717,231
SULPHUR,11.660450618768383,2663441,16917923,65,18.132366625310173,236054,8183349,131
RABBIT,6.380962885560587,1027896,8961800,50,9.259243245479746,2200802,8342398,866
NETHER_STALK,7.799999999999999,1945354,12787150,61,11.70797481636936,306341,6896796,44
DARK_BAIT,300.8758865248227,563797,334943,205,376.1238907849829,18938,273114,66
ENCHANTED_CARROT,408.70037627067217,2383317,8645293,216,464.93192790473125,402066,5750780,305
ENCHANTED_PUMPKIN,626.7831334674715,740540,4296834,465,639.6063907933399,199624,2032158,251
ROTTEN_FLESH,4.831855742499013,4951837,101339237,99,6.37798998273724,2741794,15169602,240
ENCHANTED_COOKED_FISH,27981.009410548086,195830,1085,51,637611.0705882354,407,1861,38
OBSIDIAN,12.767694732605973,3075536,93383081,91,13.977508705920025,997725,22463058,222
MINNOW_BAIT,15.004522479382814,492552,325137,37,21.69874509803922,181961,186467,141
ENCHANTED_MAGMA_CREAM,1270.0139805825243,1402490,1574230,173,1288.8198612538542,175132,780981,255
ENCHANTED_FIREWORK_ROCKET,538.6484375650147,76595,1201,290,159995.7815384615,429,2453,25
LEATHER,14.436182057842908,982881,15748911,69,16.922195678308313,2781897,13665622,401
ENCHANTED_COOKED_MUTTON,122404.8529215359,22057,3576,347,144999.67899159665,5684,3179,50
ENCHANTED_RABBIT,630.5031122864117,940091,689453,152,672.5,5386,206206,31
ENCHANTED_BREAD,50.627513893506865,1259434,498439,81,67.97045871559634,35198,222218,105
FUMING_POTATO_BOOK,1123136.6285714284,4084,5130,170,1238596.15,70,7143,37
ENCHANTED_CHARCOAL,1638.3021201989725,391238,254102,561,2057.58280952381,102383,415376,53
ENCHANTED_BLAZE_POWDER,1869.0667531234017,951111,1081690,1135,2099.4543219666934,53633,777544,153
SUMMONING_EYE,512900.4422946368,68103,138481,1576,534841.8940092166,10288,137615,1022
FISH_BAIT,73.50585682540053,874717,1639119,110,97.63257119102057,231787,2585524,73
SNOW_BLOCK,51.94276123520877,4218768,21974311,375,119.04925241864554,609773,27051063,178
ENCHANTED_BAKED_POTATO,11376.303512296277,963281,173759,254,71418.90247933882,17463,83744,273
COMPACTOR,5668.788841201717,14160,70174,416,6743.1177777777775,3491,70621,237
ENCHANTED_DIAMOND,1315.3876304213065,5246873,27701804,392,1515.4988826815638,106645,5561810,478
